RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.143,O,Provide final interagency agreement with supporting information for real property asset transfer or use from another agency and approval information consistent with 41 CFR,"41 CFR 102-75.175, 102-75.180, 102–85.115-85.160",
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.151,I,Capture response to request for funds availability check for interagency transfer of funds for real property asset transfer or use from another agency consistent with 41 CFR,"41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205",
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.152,P,"Develop and document request for funds obligation for real property asset transfer or use from another agency, including line of accounting information using standard accounting code structure consistent with 41 CFR","41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205",
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.153,O,"Provide request for funds obligation for real property asset transfer or use from another agency, including line of accounting information using standard accounting code structure, consistent with 41 CFR","41 CFR 102-75.190, 102-75.195, 102-75.200, 102-75.205",
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.161,P,"Determine and document need for government-required easements, permits, licenses or access rights",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.162,O,"Provide need for government-required easements, permits, licenses, or access rights",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.171,P,"Develop draft easement agreement, route for review and feedback, and document results ",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.172,O,Provide draft easement agreement for review and feedback ,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.181,I,Capture feedback on draft easement agreement,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.182,P,"Develop final easement agreement, route for review and approval, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.183,O,Provide final easement agreement and approval information,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.191,P,"Develop request/application for government-required permits, licenses, and access rights route for review and approval, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.192,O,"Provide request/application for government-required permits, licenses, and access rights, and approval information",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.201,I,"Capture response to request/application for government-required permits, licenses, or access rights information",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.202,P,"Determine if request/application for government-required permit, license, or access rights is approved/disapproved and document results ",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.203,O,"Provide government-required permit, license, or access rights information",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.010 Real Property Asset Acquisition,RPM.030.010.204,O,"Provide disapproval information for request/application for government-required permit, license, or access rights information",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.011,I,Capture alternative real property asset and/or component designs,,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.012,I,"Capture value information, including cost/worth ratio information, for each alternative real property asset and/or component design",,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.013,P,"Evaluate alternative real property asset and/or component designs and value information, select preferred alternative, and record results",,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.014,O,Provide evaluation results concerning alternative real property asset and/or component designs and value information,,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.015,O,Provide preferred alternative real property asset and/or component design,,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.021,I,"Capture Federal, state, and local building codes and related real property standards",,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.022,I,"Capture detailed real property asset and/or component design, including specifications",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.023,P,"Evaluate detailed real property asset and/or component design, including specifications, and record results",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.024,O,"Provide evaluation results for detailed real property asset and/or component design, including specifications",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.031,P,"Develop and document feedback on detailed real property asset and/or component design, including specifications",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.032,O,"Provide feedback on detailed real property asset and/or component design, including specifications",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.041,I,"Capture updated detailed real property asset and/or component design, including specifications",OMB Circular A-45R ,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.042,P,"Determine and document necessary updates to feasibility and impact assessments based on detailed real property asset and/or component design, including specifications",,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.043,O,"Provide necessary updates to feasibility and impact assessments based on detailed real property asset and/or component design, including specifications",,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.051,P,Update feasibility and impact assessments and document results,,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.052,O,Provide updated feasibility and impact assessments ,,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.061,P,"Determine and document cost and budget changes based on detailed real property asset and/or component design, including specifications and including line of accounting information using standard accounting code structure consistent with 41 CFR",41 CFR 105-71.130,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.062,O,"Provide cost and budget changes based on detailed real property asset and/or component design, including specifications and including line of accounting information using standard accounting code structure consistent with 41 CFR",41 CFR 105-71.130,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.071,P,"Route detailed real property asset and/or component design, including specifications, and other supporting documentation for review and approval and document results",OMB Circular A-45R ,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.072,O,"Provide detailed real property asset and/or component design, including specifications, and other supporting documentation and approval information",OMB Circular A-45R ,GSA Capital Program Project Planning Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.081,I,"Capture draft construction documentation (e.g., plans) ",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.082,P,Evaluate draft construction documentation and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.083,O,Provide evaluation results for draft construction documentation,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.091,P,Develop and document feedback on draft construction documentation ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.092,O,Provide feedback on draft construction documentation ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.101,I,Capture updated construction documentation,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.102,P,Approve/disapprove updated construction documentation and document results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.103,O,Provide approved construction documentation,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.111,P,Develop and document notification of construction documentation disapproval and request for update,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.112,O,Provide notification of construction documentation disapproval and request for update,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.121,P,Verify cost estimates are still within budget and document results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.122,O,Provide verification results that cost estimates are still within budget,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.131,P,Develop and document notification of swing space relocation to existing tenants,,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.132,O,Provide notification of swing space relocation to existing tenants,,GSA Design and Construction Delivery Process https://www.gsa.gov/real-estate/design-construction/design-and-construction-delivery-process
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.141,P,"Develop plan for real property asset transfer to the government, route for review and feedback, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.142,O,Provide plan for real property asset transfer to the government for review and feedback,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.151,I,Capture feedback on plan for real property asset transfer to the government,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.152,P,"Develop updated plan for real property asset transfer to the government, route for approval, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.153,O,Provide updated plan for real property asset transfer to the government and approval information,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.161,P,"Verify all real property asset transfer actions are completed, including updates to real property asset record and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.162,O,Provide verification results concerning completion of all real property asset transfer actions ,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.171,I,"Capture contractor project and other plans (e.g., project management plan, safety management plan)",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.172,P,Evaluate contractor project and other plans and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.173,O,Provide evaluation results for contractor project and other plans,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.181,P,"Determine and document appropriate activities and schedule for measuring real property asset and/or component execution progress (e.g., kick-off meetings, partnering sessions, groundbreaking ceremonies, inspections and testing)",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.182,O,Provide appropriate activities and schedule for measuring real property asset and/or component execution progress,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.191,I,Capture real property asset and/or component execution progress information ,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.192,P,"Evaluate real property asset and/or component execution progress information, determine status information, and record results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.193,O,"Provide evaluation results for real property asset and/or component execution progress, including issues and concerns",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.201,P,"Develop notification of real property asset and/or component execution progress issues and concerns, request corrective action plan, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.202,O,Provide notification of real property asset and/or component execution progress issues and concerns with request for corrective action plan,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.211,I,Capture corrective action plan or updates to corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.212,P,Evaluate corrective action plan or updates to corrective action plan for remedying real property asset and/or component execution progress issues and concerns and record results,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.213,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.221,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.222,O,Provide feedback on corrective action plan or updates to corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.231,I,Capture status information concerning corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.232,P,Evaluate status information concerning corrective action plan for remedying real property asset and/or component execution progress issues and concerns and record results,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.233,O,Provide evaluation results for status information concerning corrective action plan for remedying real property asset and/or component execution progress issues and concerns,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.241,I,Capture change order request information consistent with 41 CFR,41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.242,P,"Evaluate change order request information to compare with original agreement for real property asset and/or component acquisition execution, route for review and approval, and record results consistent with 41 CFR",41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.243,O,Provide evaluation results for change order request information comparison against original agreement for real property asset and/or component acquisition and approval information consistent with 41 CFR,41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.251,P,"Determine agreement modification supporting information, route for review, and document results consistent with 41 CFR",41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.252,O,Provide agreement modification supporting information consistent with 41 CFR,41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.261,P,"Determine real property asset and/or component budget modification information, route for review, and document results consistent with 41 CFR",41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.020 Real Property Asset Design and Execution,RPM.030.020.262,O,Provide real property asset and/or component budget modification information consistent with 41 CFR,41 CFR 105-71.130,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.011,I,Capture request for real property asset and/or component substantial completion certification,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.012,I,Capture final real property asset and/or component inspections and testing information ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.013,P,"Evaluate final real property asset and/or component inspections and testing information against agreement and real property asset and/or component commissioning plan, determine status of completion tasks, and record results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.014,O,"Provide evaluation results for final real property asset and/or component inspections and testing information against agreement and real property asset and/or component commissioning plan, including inspection and testing failures",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.021,P,"Develop notification of final real property asset and/or component inspection and testing failures, request corrective action plan, and document results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.022,O,Provide notification of final real property asset and/or component inspection and testing failures and request for corrective action plan,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.031,I,Capture corrective action plan or updates to corrective action plan for remedying final real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.032,P,Evaluate corrective action plan or updates to corrective action plan for remedying final real property asset and/or component inspection and testing failures and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.033,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying final real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.041,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying final real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.042,O,Provide feedback on corrective action plan or updates to corrective action plan for remedying final real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.051,I,Capture status information concerning corrective action plan for remedying final real property asset and/or component inspection and testing failures,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.052,P,Evaluate status information concerning corrective action plan for remedying final real property asset and/or component inspection and testing failures record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.053,O,Provide evaluation results for status information concerning corrective action plan for remedying final real property asset and/or component inspection and testing failures,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.061,I,"Capture real property asset and/or component turnover documents (e.g., warranties and certifications, manuals, drawings)",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.062,P,"Evaluate real property asset and/or component turnover documents (e.g., warranties and certifications, manuals, drawings), determine acceptance, and record results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.063,O,Provide evaluation results for real property asset and/or component turnover documents and acceptance ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.071,P,Develop and document request for missing real property asset and/or turnover documents or document updates to correct issues,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.072,O,Provide request for missing real property asset and/or turnover documents or document updates to correct issues,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.081,P,"Determine amount to withhold from final payment, if any, including line of accounting information using standard accounting code structure; route for review and approval; and document results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.082,O,"Provide amount to withhold from final payment, including line of accounting information using standard accounting code structure, and approval information",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.091,P,Develop and document notification of amount withheld from final payment,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.092,O,Provide notification of amount withheld from final payment,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.101,P,"Verify completion status information for final inspections, testing, and corrective actions and document results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.102,O,"Provide verification results for completion status information for final inspections, testing, and corrective actions",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.111,I,Capture real property asset and/or component performance results information,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.112,P,Evaluate real property asset and/or component actual performance results information against predicted performance and record results,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.113,O,Provide evaluation results for real property asset and/or component actual performance results information evaluation,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.121,P,Develop and document request to issue substantial completion certification and document results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.122,O,Provide request to issue real property asset and/or component substantial completion certification information,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.131,P,Issue occupancy permit(s) and document results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.132,O,Provide occupancy permit(s) information,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.141,I,Capture request for beneficial occupancy,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.142,P,"Evaluate request for beneficial occupancy, route for review and approval, and record results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.143,O,Provide evaluation results for request for beneficial occupancy,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.151,P,Develop and document notification of approval/disapproval of request for beneficial occupancy,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.152,O,Provide notification of approval/disapproval of request for beneficial occupancy,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.161,P,"Verify completion of real property asset and/or component, determine acceptance, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.162,O,Provide verification results concerning whether real property asset and/or component is complete,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.163,O,Provide real property asset and/or component acceptance information,,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.171,P,"Determine real property asset and/or component depreciation information, including line of accounting information using standard accounting code structure ; route for review and approval, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.172,O,"Provide updated real property asset and/or component status and depreciation information, including line of accounting information using standard accounting code structure ",,
